recommendation_id,device_id,similar_case_id,outcome,resolution
REC-0360,DEV-0161,CASE-0485,False Positive,Dismissed; benign root cause confirmed
REC-0361,DEV-0039,CASE-0513,False Negative,Escalated; incident response initiated
REC-0362,DEV-0068,CASE-0932,Recommendation Incorrect,Overridden after investigation
REC-0363,DEV-0128,CASE-0770,Recommendation Correct,Approved and threat verified
REC-0364,DEV-0031,CASE-0852,Recommendation Correct,Approved and threat verified
REC-0365,DEV-0052,CASE-0937,Recommendation Correct,Approved and threat verified
REC-0366,DEV-0121,CASE-0627,Recommendation Correct,Approved and threat verified
REC-0367,DEV-0070,CASE-0102,Recommendation Correct,Approved and threat verified
REC-0368,DEV-0109,CASE-0513,Recommendation Correct,Approved and threat verified
REC-0369,DEV-0097,CASE-0430,False Positive,Dismissed; benign root cause confirmed
REC-0370,DEV-0228,CASE-0657,Recommendation Correct,Approved and threat verified
REC-0371,DEV-0238,CASE-0055,False Negative,Escalated; incident response initiated
REC-0372,DEV-0041,CASE-0650,False Positive,Dismissed; benign root cause confirmed
REC-0373,DEV-0146,CASE-0065,Recommendation Correct,Approved and threat verified
REC-0374,DEV-0107,CASE-0263,Recommendation Correct,Approved and threat verified
REC-0375,DEV-0194,CASE-0178,False Negative,Escalated; incident response initiated
REC-0376,DEV-0152,CASE-0148,Recommendation Correct,Approved and threat verified
REC-0377,DEV-0090,CASE-0836,Recommendation Correct,Approved and threat verified
REC-0378,DEV-0013,CASE-0662,Recommendation Correct,Approved and threat verified
REC-0379,DEV-0084,CASE-0513,False Positive,Dismissed; benign root cause confirmed
REC-0380,DEV-0018,CASE-0972,Recommendation Incorrect,Overridden after investigation
REC-0381,DEV-0192,CASE-0269,Recommendation Correct,Approved and threat verified
REC-0382,DEV-0119,CASE-0105,Recommendation Correct,Approved and threat verified
REC-0383,DEV-0082,CASE-0929,Recommendation Correct,Approved and threat verified
REC-0384,DEV-0228,CASE-0407,Recommendation Correct,Approved and threat verified
REC-0385,DEV-0137,CASE-0794,False Negative,Escalated; incident response initiated
REC-0386,DEV-0085,CASE-0675,False Positive,Dismissed; benign root cause confirmed
REC-0387,DEV-0226,CASE-0612,Recommendation Correct,Approved and threat verified
REC-0388,DEV-0110,CASE-0257,Recommendation Correct,Approved and threat verified
REC-0389,DEV-0042,CASE-0791,False Positive,Dismissed; benign root cause confirmed
REC-0390,DEV-0003,CASE-0662,False Positive,Dismissed; benign root cause confirmed
REC-0391,DEV-0151,CASE-0641,Recommendation Correct,Approved and threat verified
REC-0392,DEV-0240,CASE-0915,Recommendation Correct,Approved and threat verified
REC-0393,DEV-0222,CASE-0304,False Positive,Dismissed; benign root cause confirmed
REC-0394,DEV-0226,CASE-0436,Recommendation Correct,Approved and threat verified
REC-0395,DEV-0121,CASE-0818,False Negative,Escalated; incident response initiated
REC-0396,DEV-0009,CASE-0960,Recommendation Incorrect,Overridden after investigation
REC-0397,DEV-0098,CASE-0915,Recommendation Correct,Approved and threat verified
REC-0398,DEV-0201,CASE-0319,False Positive,Dismissed; benign root cause confirmed
REC-0399,DEV-0027,CASE-0476,False Positive,Dismissed; benign root cause confirmed
REC-0400,DEV-0084,CASE-0304,Recommendation Incorrect,Overridden after investigation
REC-0401,DEV-0109,CASE-0917,Recommendation Correct,Approved and threat verified
REC-0402,DEV-0128,CASE-0036,Recommendation Correct,Approved and threat verified
REC-0403,DEV-0147,CASE-0593,Recommendation Correct,Approved and threat verified
REC-0404,DEV-0238,CASE-0716,False Positive,Dismissed; benign root cause confirmed
REC-0405,DEV-0021,CASE-0231,Recommendation Correct,Approved and threat verified
REC-0406,DEV-0019,CASE-0701,Recommendation Incorrect,Overridden after investigation
REC-0407,DEV-0081,CASE-0820,Recommendation Correct,Approved and threat verified
REC-0408,DEV-0211,CASE-0574,False Positive,Dismissed; benign root cause confirmed
REC-0409,DEV-0065,CASE-0080,False Negative,Escalated; incident response initiated
REC-0410,DEV-0072,CASE-0932,Recommendation Correct,Approved and threat verified
REC-0411,DEV-0004,CASE-0766,False Positive,Dismissed; benign root cause confirmed
REC-0412,DEV-0106,CASE-0029,False Positive,Dismissed; benign root cause confirmed
REC-0413,DEV-0198,CASE-0237,Recommendation Correct,Approved and threat verified
REC-0414,DEV-0076,CASE-0799,Recommendation Correct,Approved and threat verified
REC-0415,DEV-0187,CASE-0439,Recommendation Incorrect,Overridden after investigation
REC-0416,DEV-0249,CASE-0977,Recommendation Correct,Approved and threat verified
REC-0417,DEV-0237,CASE-0916,Recommendation Correct,Approved and threat verified
REC-0418,DEV-0067,CASE-0643,Recommendation Correct,Approved and threat verified
REC-0419,DEV-0125,CASE-0018,False Negative,Escalated; incident response initiated
REC-0420,DEV-0231,CASE-0723,Recommendation Incorrect,Overridden after investigation
REC-0421,DEV-0002,CASE-0380,Recommendation Incorrect,Overridden after investigation
REC-0422,DEV-0053,CASE-0852,Recommendation Correct,Approved and threat verified
REC-0423,DEV-0029,CASE-0851,Recommendation Correct,Approved and threat verified
REC-0424,DEV-0159,CASE-0614,Recommendation Correct,Approved and threat verified
REC-0425,DEV-0010,CASE-0492,Recommendation Correct,Approved and threat verified
REC-0426,DEV-0123,CASE-0493,False Positive,Dismissed; benign root cause confirmed
REC-0427,DEV-0217,CASE-0485,False Positive,Dismissed; benign root cause confirmed
REC-0428,DEV-0094,CASE-0877,Recommendation Correct,Approved and threat verified
REC-0429,DEV-0179,CASE-0140,Recommendation Correct,Approved and threat verified
REC-0430,DEV-0180,CASE-0576,Recommendation Correct,Approved and threat verified
REC-0431,DEV-0117,CASE-0389,Recommendation Correct,Approved and threat verified
REC-0432,DEV-0059,CASE-0132,False Positive,Dismissed; benign root cause confirmed
REC-0433,DEV-0234,CASE-0904,False Positive,Dismissed; benign root cause confirmed
REC-0434,DEV-0032,CASE-0686,Recommendation Correct,Approved and threat verified
REC-0435,DEV-0100,CASE-0987,False Positive,Dismissed; benign root cause confirmed
REC-0436,DEV-0159,CASE-0290,Recommendation Correct,Approved and threat verified
REC-0437,DEV-0132,CASE-0789,Recommendation Incorrect,Overridden after investigation
REC-0438,DEV-0009,CASE-0044,Recommendation Incorrect,Overridden after investigation
REC-0439,DEV-0106,CASE-0937,False Negative,Escalated; incident response initiated
REC-0440,DEV-0044,CASE-0646,False Positive,Dismissed; benign root cause confirmed
REC-0441,DEV-0068,CASE-0690,Recommendation Correct,Approved and threat verified
REC-0442,DEV-0106,CASE-0692,Recommendation Correct,Approved and threat verified
REC-0443,DEV-0049,CASE-0769,Recommendation Correct,Approved and threat verified
REC-0444,DEV-0008,CASE-0362,Recommendation Incorrect,Overridden after investigation
REC-0445,DEV-0188,CASE-0468,Recommendation Correct,Approved and threat verified
REC-0446,DEV-0022,CASE-0981,Recommendation Correct,Approved and threat verified
REC-0447,DEV-0046,CASE-0667,Recommendation Correct,Approved and threat verified
REC-0448,DEV-0022,CASE-0612,False Negative,Escalated; incident response initiated
REC-0449,DEV-0186,CASE-0110,False Negative,Escalated; incident response initiated
REC-0450,DEV-0139,CASE-0260,False Positive,Dismissed; benign root cause confirmed
REC-0451,DEV-0247,CASE-0907,Recommendation Correct,Approved and threat verified
REC-0452,DEV-0029,CASE-0032,Recommendation Correct,Approved and threat verified
REC-0453,DEV-0247,CASE-0811,Recommendation Correct,Approved and threat verified
REC-0454,DEV-0099,CASE-0104,Recommendation Correct,Approved and threat verified
REC-0455,DEV-0103,CASE-0201,False Positive,Dismissed; benign root cause confirmed
REC-0456,DEV-0051,CASE-0743,Recommendation Correct,Approved and threat verified
REC-0457,DEV-0212,CASE-0597,False Negative,Escalated; incident response initiated
REC-0458,DEV-0232,CASE-0688,Recommendation Correct,Approved and threat verified
REC-0459,DEV-0004,CASE-0935,False Positive,Dismissed; benign root cause confirmed
REC-0460,DEV-0142,CASE-0788,False Positive,Dismissed; benign root cause confirmed
REC-0461,DEV-0219,CASE-0117,Recommendation Correct,Approved and threat verified
REC-0462,DEV-0241,CASE-0146,False Negative,Escalated; incident response initiated
REC-0463,DEV-0001,CASE-0617,False Positive,Dismissed; benign root cause confirmed
REC-0464,DEV-0240,CASE-0868,Recommendation Correct,Approved and threat verified
REC-0465,DEV-0053,CASE-0986,Recommendation Correct,Approved and threat verified
REC-0466,DEV-0108,CASE-0203,Recommendation Incorrect,Overridden after investigation
REC-0467,DEV-0118,CASE-0248,Recommendation Correct,Approved and threat verified
REC-0468,DEV-0086,CASE-0396,Recommendation Correct,Approved and threat verified
REC-0469,DEV-0095,CASE-0795,Recommendation Correct,Approved and threat verified
REC-0470,DEV-0238,CASE-0241,Recommendation Correct,Approved and threat verified
REC-0471,DEV-0107,CASE-0229,Recommendation Correct,Approved and threat verified
REC-0472,DEV-0200,CASE-0931,Recommendation Correct,Approved and threat verified
REC-0473,DEV-0242,CASE-0672,Recommendation Correct,Approved and threat verified
REC-0474,DEV-0151,CASE-0129,False Positive,Dismissed; benign root cause confirmed
REC-0475,DEV-0068,CASE-0561,False Positive,Dismissed; benign root cause confirmed
REC-0476,DEV-0006,CASE-0327,Recommendation Correct,Approved and threat verified
REC-0477,DEV-0236,CASE-0912,False Negative,Escalated; incident response initiated
REC-0478,DEV-0207,CASE-0429,Recommendation Correct,Approved and threat verified
REC-0479,DEV-0038,CASE-0791,False Negative,Escalated; incident response initiated
REC-0480,DEV-0186,CASE-0721,Recommendation Correct,Approved and threat verified
REC-0481,DEV-0153,CASE-0106,Recommendation Correct,Approved and threat verified
REC-0482,DEV-0077,CASE-0247,Recommendation Correct,Approved and threat verified
REC-0483,DEV-0240,CASE-0089,Recommendation Correct,Approved and threat verified
REC-0484,DEV-0223,CASE-0049,False Positive,Dismissed; benign root cause confirmed
REC-0485,DEV-0156,CASE-0979,False Positive,Dismissed; benign root cause confirmed
REC-0486,DEV-0204,CASE-0143,False Positive,Dismissed; benign root cause confirmed
REC-0487,DEV-0166,CASE-0463,Recommendation Correct,Approved and threat verified
REC-0488,DEV-0122,CASE-0005,Recommendation Correct,Approved and threat verified
REC-0489,DEV-0148,CASE-0029,Recommendation Incorrect,Overridden after investigation
REC-0490,DEV-0123,CASE-0837,Recommendation Correct,Approved and threat verified
REC-0491,DEV-0128,CASE-0525,Recommendation Correct,Approved and threat verified
REC-0492,DEV-0175,CASE-0943,Recommendation Incorrect,Overridden after investigation
REC-0493,DEV-0177,CASE-0080,Recommendation Correct,Approved and threat verified
REC-0494,DEV-0122,CASE-0660,Recommendation Correct,Approved and threat verified
REC-0495,DEV-0075,CASE-0518,Recommendation Incorrect,Overridden after investigation
REC-0496,DEV-0172,CASE-0649,Recommendation Correct,Approved and threat verified
REC-0497,DEV-0019,CASE-0289,False Positive,Dismissed; benign root cause confirmed
REC-0498,DEV-0052,CASE-0838,Recommendation Incorrect,Overridden after investigation
REC-0499,DEV-0006,CASE-0670,Recommendation Correct,Approved and threat verified
REC-0500,DEV-0220,CASE-0449,Recommendation Incorrect,Overridden after investigation
REC-0501,DEV-0067,CASE-0342,Recommendation Incorrect,Overridden after investigation
REC-0502,DEV-0203,CASE-0952,Recommendation Correct,Approved and threat verified
REC-0503,DEV-0178,CASE-0206,Recommendation Correct,Approved and threat verified
REC-0504,DEV-0011,CASE-0676,False Negative,Escalated; incident response initiated
REC-0505,DEV-0130,CASE-0322,Recommendation Incorrect,Overridden after investigation
REC-0506,DEV-0104,CASE-0487,Recommendation Correct,Approved and threat verified
REC-0507,DEV-0127,CASE-0726,Recommendation Correct,Approved and threat verified
REC-0508,DEV-0080,CASE-0276,Recommendation Incorrect,Overridden after investigation
REC-0509,DEV-0234,CASE-0722,Recommendation Incorrect,Overridden after investigation
REC-0510,DEV-0034,CASE-0097,False Positive,Dismissed; benign root cause confirmed
REC-0511,DEV-0211,CASE-0365,False Negative,Escalated; incident response initiated
REC-0512,DEV-0030,CASE-0618,Recommendation Incorrect,Overridden after investigation
REC-0513,DEV-0035,CASE-0318,Recommendation Incorrect,Overridden after investigation
REC-0514,DEV-0119,CASE-0457,Recommendation Correct,Approved and threat verified
REC-0515,DEV-0048,CASE-0323,Recommendation Correct,Approved and threat verified
REC-0516,DEV-0015,CASE-0803,Recommendation Correct,Approved and threat verified
REC-0517,DEV-0223,CASE-0679,Recommendation Correct,Approved and threat verified
REC-0518,DEV-0178,CASE-0014,Recommendation Incorrect,Overridden after investigation
REC-0519,DEV-0074,CASE-0155,Recommendation Correct,Approved and threat verified
REC-0520,DEV-0239,CASE-0043,False Positive,Dismissed; benign root cause confirmed
REC-0521,DEV-0078,CASE-0621,Recommendation Correct,Approved and threat verified
REC-0522,DEV-0022,CASE-0465,False Negative,Escalated; incident response initiated
REC-0523,DEV-0182,CASE-0234,Recommendation Correct,Approved and threat verified
REC-0524,DEV-0075,CASE-0351,Recommendation Correct,Approved and threat verified
REC-0525,DEV-0186,CASE-0028,Recommendation Correct,Approved and threat verified
REC-0526,DEV-0094,CASE-0598,Recommendation Correct,Approved and threat verified
REC-0527,DEV-0139,CASE-0950,False Positive,Dismissed; benign root cause confirmed
REC-0528,DEV-0028,CASE-0876,Recommendation Correct,Approved and threat verified
REC-0529,DEV-0008,CASE-0211,False Positive,Dismissed; benign root cause confirmed
REC-0530,DEV-0206,CASE-0445,Recommendation Correct,Approved and threat verified
REC-0531,DEV-0150,CASE-0697,False Positive,Dismissed; benign root cause confirmed
REC-0532,DEV-0131,CASE-0066,False Negative,Escalated; incident response initiated
REC-0533,DEV-0227,CASE-0828,Recommendation Incorrect,Overridden after investigation
REC-0534,DEV-0051,CASE-0228,False Negative,Escalated; incident response initiated
REC-0535,DEV-0100,CASE-0101,False Positive,Dismissed; benign root cause confirmed
REC-0536,DEV-0190,CASE-0139,Recommendation Correct,Approved and threat verified
REC-0537,DEV-0014,CASE-0131,Recommendation Correct,Approved and threat verified
REC-0538,DEV-0068,CASE-0480,Recommendation Incorrect,Overridden after investigation
REC-0539,DEV-0152,CASE-0917,Recommendation Correct,Approved and threat verified
REC-0540,DEV-0104,CASE-0720,False Positive,Dismissed; benign root cause confirmed
REC-0541,DEV-0101,CASE-0769,False Negative,Escalated; incident response initiated
REC-0542,DEV-0242,CASE-0625,False Negative,Escalated; incident response initiated
REC-0543,DEV-0095,CASE-0601,Recommendation Correct,Approved and threat verified
REC-0544,DEV-0134,CASE-0506,Recommendation Correct,Approved and threat verified
REC-0545,DEV-0149,CASE-0815,Recommendation Correct,Approved and threat verified
REC-0546,DEV-0074,CASE-0206,Recommendation Correct,Approved and threat verified
REC-0547,DEV-0165,CASE-0259,Recommendation Correct,Approved and threat verified
REC-0548,DEV-0048,CASE-0225,False Negative,Escalated; incident response initiated
REC-0549,DEV-0221,CASE-0928,Recommendation Correct,Approved and threat verified
REC-0550,DEV-0002,CASE-0816,Recommendation Incorrect,Overridden after investigation
REC-0551,DEV-0062,CASE-0573,Recommendation Correct,Approved and threat verified
REC-0552,DEV-0186,CASE-0913,False Positive,Dismissed; benign root cause confirmed
REC-0553,DEV-0220,CASE-0447,Recommendation Correct,Approved and threat verified
REC-0554,DEV-0049,CASE-0783,Recommendation Correct,Approved and threat verified
REC-0555,DEV-0209,CASE-0944,Recommendation Correct,Approved and threat verified
REC-0556,DEV-0126,CASE-0637,Recommendation Incorrect,Overridden after investigation
REC-0557,DEV-0061,CASE-0119,False Negative,Escalated; incident response initiated
REC-0558,DEV-0117,CASE-0245,False Positive,Dismissed; benign root cause confirmed
REC-0559,DEV-0248,CASE-0524,False Positive,Dismissed; benign root cause confirmed
REC-0560,DEV-0126,CASE-0748,Recommendation Correct,Approved and threat verified
REC-0561,DEV-0242,CASE-0450,Recommendation Correct,Approved and threat verified
REC-0562,DEV-0107,CASE-0954,False Positive,Dismissed; benign root cause confirmed
REC-0563,DEV-0055,CASE-0361,Recommendation Correct,Approved and threat verified
REC-0564,DEV-0181,CASE-0380,False Positive,Dismissed; benign root cause confirmed
REC-0565,DEV-0211,CASE-0892,False Positive,Dismissed; benign root cause confirmed
REC-0566,DEV-0229,CASE-0157,Recommendation Correct,Approved and threat verified
REC-0567,DEV-0078,CASE-0980,Recommendation Incorrect,Overridden after investigation
REC-0568,DEV-0138,CASE-0709,Recommendation Correct,Approved and threat verified
REC-0569,DEV-0061,CASE-0470,Recommendation Correct,Approved and threat verified
REC-0570,DEV-0161,CASE-0079,Recommendation Correct,Approved and threat verified
REC-0571,DEV-0031,CASE-0796,Recommendation Correct,Approved and threat verified
REC-0572,DEV-0130,CASE-0978,Recommendation Correct,Approved and threat verified
REC-0573,DEV-0017,CASE-0343,False Positive,Dismissed; benign root cause confirmed
REC-0574,DEV-0224,CASE-0052,False Negative,Escalated; incident response initiated
REC-0575,DEV-0080,CASE-0894,False Negative,Escalated; incident response initiated
REC-0576,DEV-0204,CASE-0908,False Positive,Dismissed; benign root cause confirmed
REC-0577,DEV-0111,CASE-0967,False Negative,Escalated; incident response initiated
REC-0578,DEV-0144,CASE-0459,False Positive,Dismissed; benign root cause confirmed
REC-0579,DEV-0029,CASE-0204,Recommendation Correct,Approved and threat verified
REC-0580,DEV-0041,CASE-0021,Recommendation Correct,Approved and threat verified
REC-0581,DEV-0059,CASE-0563,Recommendation Incorrect,Overridden after investigation
REC-0582,DEV-0010,CASE-0778,False Positive,Dismissed; benign root cause confirmed
REC-0583,DEV-0215,CASE-0292,Recommendation Correct,Approved and threat verified
REC-0584,DEV-0003,CASE-0785,Recommendation Correct,Approved and threat verified
REC-0585,DEV-0054,CASE-0985,Recommendation Correct,Approved and threat verified
REC-0586,DEV-0077,CASE-0993,Recommendation Correct,Approved and threat verified
REC-0587,DEV-0090,CASE-0961,Recommendation Correct,Approved and threat verified
REC-0588,DEV-0116,CASE-0469,False Negative,Escalated; incident response initiated
REC-0589,DEV-0070,CASE-0983,False Positive,Dismissed; benign root cause confirmed
REC-0590,DEV-0065,CASE-0737,False Negative,Escalated; incident response initiated
REC-0591,DEV-0175,CASE-0582,False Positive,Dismissed; benign root cause confirmed
REC-0592,DEV-0070,CASE-0522,Recommendation Correct,Approved and threat verified
REC-0593,DEV-0121,CASE-0013,False Positive,Dismissed; benign root cause confirmed
REC-0594,DEV-0071,CASE-0826,Recommendation Correct,Approved and threat verified
REC-0595,DEV-0175,CASE-0596,Recommendation Correct,Approved and threat verified
REC-0596,DEV-0045,CASE-0656,Recommendation Correct,Approved and threat verified
REC-0597,DEV-0172,CASE-0431,Recommendation Correct,Approved and threat verified
REC-0598,DEV-0150,CASE-0158,Recommendation Correct,Approved and threat verified
REC-0599,DEV-0112,CASE-0491,False Positive,Dismissed; benign root cause confirmed
REC-0600,DEV-0083,CASE-0536,Recommendation Incorrect,Overridden after investigation
REC-0601,DEV-0001,CASE-0717,False Positive,Dismissed; benign root cause confirmed
REC-0602,DEV-0245,CASE-0613,False Negative,Escalated; incident response initiated
REC-0603,DEV-0177,CASE-0472,Recommendation Correct,Approved and threat verified
REC-0604,DEV-0222,CASE-0096,False Negative,Escalated; incident response initiated
REC-0605,DEV-0158,CASE-0608,False Positive,Dismissed; benign root cause confirmed
REC-0606,DEV-0191,CASE-0258,Recommendation Correct,Approved and threat verified
REC-0607,DEV-0158,CASE-0300,False Positive,Dismissed; benign root cause confirmed
REC-0608,DEV-0236,CASE-0689,False Positive,Dismissed; benign root cause confirmed
REC-0609,DEV-0162,CASE-0110,Recommendation Correct,Approved and threat verified
REC-0610,DEV-0012,CASE-0129,False Positive,Dismissed; benign root cause confirmed
REC-0611,DEV-0077,CASE-0137,Recommendation Correct,Approved and threat verified
REC-0612,DEV-0187,CASE-0649,Recommendation Correct,Approved and threat verified
REC-0613,DEV-0042,CASE-0980,Recommendation Correct,Approved and threat verified
REC-0614,DEV-0154,CASE-0643,Recommendation Correct,Approved and threat verified
REC-0615,DEV-0250,CASE-0151,Recommendation Correct,Approved and threat verified
REC-0616,DEV-0054,CASE-0110,Recommendation Correct,Approved and threat verified
REC-0617,DEV-0230,CASE-0275,Recommendation Correct,Approved and threat verified
REC-0618,DEV-0062,CASE-0050,Recommendation Correct,Approved and threat verified
REC-0619,DEV-0164,CASE-0226,Recommendation Correct,Approved and threat verified
REC-0620,DEV-0065,CASE-0155,Recommendation Incorrect,Overridden after investigation
REC-0621,DEV-0056,CASE-0480,False Positive,Dismissed; benign root cause confirmed
REC-0622,DEV-0160,CASE-0808,Recommendation Correct,Approved and threat verified
REC-0623,DEV-0056,CASE-0274,Recommendation Correct,Approved and threat verified
REC-0624,DEV-0015,CASE-0167,False Negative,Escalated; incident response initiated
REC-0625,DEV-0132,CASE-0903,False Positive,Dismissed; benign root cause confirmed
REC-0626,DEV-0122,CASE-0898,Recommendation Incorrect,Overridden after investigation
REC-0627,DEV-0204,CASE-0462,Recommendation Correct,Approved and threat verified
REC-0628,DEV-0237,CASE-0452,Recommendation Incorrect,Overridden after investigation
REC-0629,DEV-0164,CASE-0631,False Positive,Dismissed; benign root cause confirmed
REC-0630,DEV-0044,CASE-0697,Recommendation Correct,Approved and threat verified
REC-0631,DEV-0236,CASE-0389,Recommendation Correct,Approved and threat verified
REC-0632,DEV-0245,CASE-0286,False Positive,Dismissed; benign root cause confirmed
REC-0633,DEV-0112,CASE-0947,Recommendation Correct,Approved and threat verified
REC-0634,DEV-0157,CASE-0938,Recommendation Incorrect,Overridden after investigation
REC-0635,DEV-0221,CASE-0990,Recommendation Incorrect,Overridden after investigation
REC-0636,DEV-0177,CASE-0713,Recommendation Correct,Approved and threat verified
REC-0637,DEV-0102,CASE-0844,Recommendation Correct,Approved and threat verified
REC-0638,DEV-0187,CASE-0394,False Negative,Escalated; incident response initiated
REC-0639,DEV-0111,CASE-0013,Recommendation Correct,Approved and threat verified
REC-0640,DEV-0228,CASE-0445,Recommendation Correct,Approved and threat verified
REC-0641,DEV-0207,CASE-0021,Recommendation Correct,Approved and threat verified
REC-0642,DEV-0247,CASE-0326,Recommendation Correct,Approved and threat verified
REC-0643,DEV-0097,CASE-0657,Recommendation Correct,Approved and threat verified
REC-0644,DEV-0116,CASE-0653,False Positive,Dismissed; benign root cause confirmed
REC-0645,DEV-0208,CASE-0780,Recommendation Correct,Approved and threat verified
REC-0646,DEV-0125,CASE-0640,Recommendation Correct,Approved and threat verified
REC-0647,DEV-0159,CASE-0961,Recommendation Correct,Approved and threat verified
REC-0648,DEV-0148,CASE-0180,False Negative,Escalated; incident response initiated
REC-0649,DEV-0021,CASE-0527,Recommendation Correct,Approved and threat verified
REC-0650,DEV-0133,CASE-0577,False Positive,Dismissed; benign root cause confirmed
REC-0651,DEV-0212,CASE-0021,False Positive,Dismissed; benign root cause confirmed
REC-0652,DEV-0102,CASE-0487,Recommendation Correct,Approved and threat verified
REC-0653,DEV-0150,CASE-0272,Recommendation Correct,Approved and threat verified
REC-0654,DEV-0029,CASE-0672,Recommendation Incorrect,Overridden after investigation
REC-0655,DEV-0221,CASE-0108,Recommendation Correct,Approved and threat verified
REC-0656,DEV-0241,CASE-0152,Recommendation Correct,Approved and threat verified
REC-0657,DEV-0192,CASE-0079,Recommendation Correct,Approved and threat verified
REC-0658,DEV-0211,CASE-0169,Recommendation Incorrect,Overridden after investigation
REC-0659,DEV-0077,CASE-0387,Recommendation Correct,Approved and threat verified
REC-0660,DEV-0130,CASE-0300,Recommendation Incorrect,Overridden after investigation
REC-0661,DEV-0205,CASE-0158,False Positive,Dismissed; benign root cause confirmed
REC-0662,DEV-0081,CASE-0227,Recommendation Correct,Approved and threat verified
REC-0663,DEV-0078,CASE-0973,Recommendation Correct,Approved and threat verified
REC-0664,DEV-0069,CASE-0538,Recommendation Incorrect,Overridden after investigation
REC-0665,DEV-0092,CASE-0638,Recommendation Correct,Approved and threat verified
REC-0666,DEV-0090,CASE-0540,Recommendation Correct,Approved and threat verified
REC-0667,DEV-0227,CASE-0982,Recommendation Correct,Approved and threat verified
REC-0668,DEV-0232,CASE-0703,Recommendation Correct,Approved and threat verified
REC-0669,DEV-0033,CASE-0484,False Positive,Dismissed; benign root cause confirmed
REC-0670,DEV-0045,CASE-0052,False Positive,Dismissed; benign root cause confirmed
REC-0671,DEV-0162,CASE-0774,Recommendation Correct,Approved and threat verified
REC-0672,DEV-0145,CASE-0929,Recommendation Correct,Approved and threat verified
REC-0673,DEV-0203,CASE-0080,Recommendation Correct,Approved and threat verified
REC-0674,DEV-0095,CASE-0619,False Negative,Escalated; incident response initiated
REC-0675,DEV-0219,CASE-0717,Recommendation Correct,Approved and threat verified
REC-0676,DEV-0123,CASE-0480,Recommendation Correct,Approved and threat verified
REC-0677,DEV-0224,CASE-0477,Recommendation Correct,Approved and threat verified
REC-0678,DEV-0126,CASE-0278,False Positive,Dismissed; benign root cause confirmed
REC-0679,DEV-0057,CASE-0638,False Positive,Dismissed; benign root cause confirmed
REC-0680,DEV-0226,CASE-0276,Recommendation Correct,Approved and threat verified
REC-0681,DEV-0068,CASE-0344,Recommendation Correct,Approved and threat verified
REC-0682,DEV-0172,CASE-0712,Recommendation Correct,Approved and threat verified
REC-0683,DEV-0242,CASE-0462,False Positive,Dismissed; benign root cause confirmed
REC-0684,DEV-0013,CASE-0709,Recommendation Correct,Approved and threat verified
REC-0685,DEV-0178,CASE-0143,Recommendation Correct,Approved and threat verified
REC-0686,DEV-0018,CASE-0353,False Positive,Dismissed; benign root cause confirmed
REC-0687,DEV-0096,CASE-0468,Recommendation Correct,Approved and threat verified
REC-0688,DEV-0009,CASE-0877,False Positive,Dismissed; benign root cause confirmed
REC-0689,DEV-0047,CASE-0919,False Positive,Dismissed; benign root cause confirmed
REC-0690,DEV-0057,CASE-0058,False Positive,Dismissed; benign root cause confirmed
REC-0691,DEV-0247,CASE-0878,False Positive,Dismissed; benign root cause confirmed
REC-0692,DEV-0173,CASE-0461,Recommendation Correct,Approved and threat verified
REC-0693,DEV-0156,CASE-0735,Recommendation Incorrect,Overridden after investigation
REC-0694,DEV-0066,CASE-0269,Recommendation Correct,Approved and threat verified
REC-0695,DEV-0017,CASE-0323,Recommendation Correct,Approved and threat verified
REC-0696,DEV-0165,CASE-0693,Recommendation Incorrect,Overridden after investigation
REC-0697,DEV-0069,CASE-0089,Recommendation Correct,Approved and threat verified
REC-0698,DEV-0225,CASE-0005,Recommendation Correct,Approved and threat verified
REC-0699,DEV-0233,CASE-0204,Recommendation Correct,Approved and threat verified
REC-0700,DEV-0164,CASE-0471,Recommendation Correct,Approved and threat verified
REC-0701,DEV-0134,CASE-0702,Recommendation Correct,Approved and threat verified
REC-0702,DEV-0014,CASE-0556,Recommendation Correct,Approved and threat verified
REC-0703,DEV-0187,CASE-0198,Recommendation Correct,Approved and threat verified
REC-0704,DEV-0228,CASE-0030,False Positive,Dismissed; benign root cause confirmed
REC-0705,DEV-0174,CASE-0063,Recommendation Correct,Approved and threat verified
REC-0706,DEV-0096,CASE-0832,False Positive,Dismissed; benign root cause confirmed
REC-0707,DEV-0027,CASE-0308,Recommendation Incorrect,Overridden after investigation
REC-0708,DEV-0128,CASE-0466,False Negative,Escalated; incident response initiated
REC-0709,DEV-0057,CASE-0107,False Positive,Dismissed; benign root cause confirmed
REC-0710,DEV-0042,CASE-0301,Recommendation Correct,Approved and threat verified
REC-0711,DEV-0207,CASE-0077,Recommendation Correct,Approved and threat verified
REC-0712,DEV-0242,CASE-0814,Recommendation Correct,Approved and threat verified
REC-0713,DEV-0156,CASE-0708,Recommendation Incorrect,Overridden after investigation
REC-0714,DEV-0029,CASE-0600,False Positive,Dismissed; benign root cause confirmed
REC-0715,DEV-0059,CASE-0585,Recommendation Correct,Approved and threat verified
REC-0716,DEV-0078,CASE-0867,Recommendation Correct,Approved and threat verified
REC-0717,DEV-0060,CASE-0384,Recommendation Correct,Approved and threat verified
REC-0718,DEV-0004,CASE-0510,False Positive,Dismissed; benign root cause confirmed
