recommendation_id,device_id,case_id,past_similar_cases,correct_recommendations,incorrect_recommendations,historical_reliability_score,known_weaknesses
REC-0248,DEV-0195,CASE-0248,37,30,1,96.8,Limited visibility during VPN outages; Overweights failed login signals on shared kiosks
REC-0249,DEV-0156,CASE-0249,81,62,5,92.5,Over-flags Linux devices; Reduced accuracy on staging environments; Struggles with executive device context
REC-0250,DEV-0015,CASE-0250,88,66,4,94.3,Over-flags Linux devices; Elevated false positives during patch windows
REC-0251,DEV-0049,CASE-0251,34,33,0,100.0,Elevated false positives during patch windows; Less reliable on previously unseen device models
REC-0252,DEV-0116,CASE-0252,86,68,2,97.1,Less reliable on previously unseen device models; Struggles with executive device context
REC-0253,DEV-0101,CASE-0253,102,48,1,98.0,Overweights failed login signals on shared kiosks; Less reliable on previously unseen device models
REC-0254,DEV-0215,CASE-0254,86,74,4,94.9,Overweights failed login signals on shared kiosks; Elevated false positives during patch windows; Over-flags Linux devices
REC-0255,DEV-0130,CASE-0255,48,48,3,94.1,Overweights failed login signals on shared kiosks; Reduced accuracy on staging environments
REC-0256,DEV-0166,CASE-0256,83,51,4,92.7,Struggles with executive device context
REC-0257,DEV-0028,CASE-0257,30,27,1,96.4,Struggles with executive device context; Elevated false positives during patch windows; Reduced accuracy on staging environments
REC-0258,DEV-0104,CASE-0258,69,40,1,97.6,Less reliable on previously unseen device models; Over-flags Linux devices
REC-0259,DEV-0095,CASE-0259,82,38,2,95.0,Less reliable on previously unseen device models; Struggles with executive device context; Elevated false positives during patch windows
REC-0260,DEV-0183,CASE-0260,61,25,1,96.2,Limited visibility during VPN outages; Reduced accuracy on staging environments
REC-0261,DEV-0153,CASE-0261,53,36,0,100.0,Struggles with executive device context; Overweights failed login signals on shared kiosks
REC-0262,DEV-0153,CASE-0262,28,54,4,93.1,Reduced accuracy on staging environments; Over-flags Linux devices
REC-0263,DEV-0202,CASE-0263,16,28,1,96.6,Elevated false positives during patch windows; Limited visibility during VPN outages; Struggles with executive device context
REC-0264,DEV-0119,CASE-0264,38,36,2,94.7,Overweights failed login signals on shared kiosks
REC-0265,DEV-0043,CASE-0265,57,27,0,100.0,Elevated false positives during patch windows; Limited visibility during VPN outages
REC-0266,DEV-0179,CASE-0266,57,24,0,100.0,Overweights failed login signals on shared kiosks; Less reliable on previously unseen device models; Limited visibility during VPN outages
REC-0267,DEV-0042,CASE-0267,83,74,3,96.1,Struggles with executive device context
REC-0268,DEV-0126,CASE-0268,24,25,0,100.0,Struggles with executive device context
REC-0269,DEV-0101,CASE-0269,74,26,0,100.0,Over-flags Linux devices
REC-0270,DEV-0128,CASE-0270,26,59,4,93.7,Limited visibility during VPN outages; Struggles with executive device context; Over-flags Linux devices
REC-0271,DEV-0018,CASE-0271,87,35,0,100.0,Overweights failed login signals on shared kiosks; Elevated false positives during patch windows
REC-0272,DEV-0076,CASE-0272,114,24,0,100.0,Limited visibility during VPN outages
REC-0273,DEV-0211,CASE-0273,17,32,1,97.0,Over-flags Linux devices; Reduced accuracy on staging environments
REC-0274,DEV-0096,CASE-0274,30,75,6,92.6,Elevated false positives during patch windows
REC-0275,DEV-0031,CASE-0275,55,56,2,96.6,Reduced accuracy on staging environments; Struggles with executive device context; Less reliable on previously unseen device models
REC-0276,DEV-0174,CASE-0276,55,27,1,96.4,Elevated false positives during patch windows; Reduced accuracy on staging environments; Less reliable on previously unseen device models
REC-0277,DEV-0171,CASE-0277,24,47,2,95.9,Less reliable on previously unseen device models
REC-0278,DEV-0137,CASE-0278,95,37,2,94.9,Overweights failed login signals on shared kiosks; Less reliable on previously unseen device models
REC-0279,DEV-0115,CASE-0279,34,40,1,97.6,Less reliable on previously unseen device models
REC-0280,DEV-0200,CASE-0280,18,39,2,95.1,Less reliable on previously unseen device models; Elevated false positives during patch windows
REC-0281,DEV-0038,CASE-0281,46,23,0,100.0,Over-flags Linux devices; Limited visibility during VPN outages; Struggles with executive device context
REC-0282,DEV-0099,CASE-0282,30,28,1,96.6,Struggles with executive device context
REC-0283,DEV-0111,CASE-0283,74,31,1,96.9,Over-flags Linux devices; Elevated false positives during patch windows
REC-0284,DEV-0005,CASE-0284,62,79,4,95.2,Limited visibility during VPN outages; Overweights failed login signals on shared kiosks
REC-0285,DEV-0158,CASE-0285,85,52,3,94.5,Elevated false positives during patch windows; Over-flags Linux devices
REC-0286,DEV-0216,CASE-0286,31,26,1,96.3,Limited visibility during VPN outages
REC-0287,DEV-0089,CASE-0287,82,39,0,100.0,Over-flags Linux devices
REC-0288,DEV-0104,CASE-0288,43,40,0,100.0,Over-flags Linux devices; Overweights failed login signals on shared kiosks
REC-0289,DEV-0052,CASE-0289,68,44,1,97.8,Over-flags Linux devices; Reduced accuracy on staging environments
REC-0290,DEV-0246,CASE-0290,78,55,4,93.2,Less reliable on previously unseen device models
REC-0291,DEV-0060,CASE-0291,83,20,1,95.2,Elevated false positives during patch windows; Less reliable on previously unseen device models; Overweights failed login signals on shared kiosks
REC-0292,DEV-0206,CASE-0292,77,77,6,92.8,Less reliable on previously unseen device models
REC-0293,DEV-0061,CASE-0293,26,40,1,97.6,Over-flags Linux devices; Limited visibility during VPN outages; Overweights failed login signals on shared kiosks
REC-0294,DEV-0190,CASE-0294,81,75,6,92.6,Elevated false positives during patch windows; Overweights failed login signals on shared kiosks; Less reliable on previously unseen device models
REC-0295,DEV-0208,CASE-0295,31,56,0,100.0,Overweights failed login signals on shared kiosks; Limited visibility during VPN outages; Elevated false positives during patch windows
REC-0296,DEV-0006,CASE-0296,115,48,3,94.1,Elevated false positives during patch windows; Limited visibility during VPN outages
REC-0297,DEV-0196,CASE-0297,89,32,1,97.0,Over-flags Linux devices
REC-0298,DEV-0225,CASE-0298,111,23,0,100.0,Overweights failed login signals on shared kiosks; Less reliable on previously unseen device models; Struggles with executive device context
REC-0299,DEV-0094,CASE-0299,105,44,0,100.0,Limited visibility during VPN outages; Overweights failed login signals on shared kiosks; Struggles with executive device context
REC-0300,DEV-0210,CASE-0300,36,57,2,96.6,Over-flags Linux devices; Struggles with executive device context
REC-0301,DEV-0231,CASE-0301,71,64,4,94.1,Over-flags Linux devices; Less reliable on previously unseen device models
REC-0302,DEV-0209,CASE-0302,29,20,0,100.0,Overweights failed login signals on shared kiosks
REC-0303,DEV-0124,CASE-0303,70,55,0,100.0,Less reliable on previously unseen device models; Reduced accuracy on staging environments; Struggles with executive device context
REC-0304,DEV-0063,CASE-0304,56,48,2,96.0,Reduced accuracy on staging environments
REC-0305,DEV-0038,CASE-0305,113,49,3,94.2,Less reliable on previously unseen device models; Overweights failed login signals on shared kiosks
REC-0306,DEV-0137,CASE-0306,117,46,3,93.9,Struggles with executive device context; Reduced accuracy on staging environments
REC-0307,DEV-0194,CASE-0307,75,52,0,100.0,Reduced accuracy on staging environments; Limited visibility during VPN outages; Over-flags Linux devices
REC-0308,DEV-0047,CASE-0308,57,22,1,95.7,Reduced accuracy on staging environments; Overweights failed login signals on shared kiosks; Elevated false positives during patch windows
REC-0309,DEV-0113,CASE-0309,49,74,5,93.7,Struggles with executive device context; Less reliable on previously unseen device models; Limited visibility during VPN outages
REC-0310,DEV-0047,CASE-0310,21,55,1,98.2,Overweights failed login signals on shared kiosks; Reduced accuracy on staging environments; Struggles with executive device context
REC-0311,DEV-0096,CASE-0311,88,43,0,100.0,Struggles with executive device context
REC-0312,DEV-0084,CASE-0312,58,28,0,100.0,Struggles with executive device context
REC-0313,DEV-0217,CASE-0313,119,35,1,97.2,Over-flags Linux devices; Elevated false positives during patch windows; Struggles with executive device context
REC-0314,DEV-0081,CASE-0314,32,56,0,100.0,Overweights failed login signals on shared kiosks; Elevated false positives during patch windows; Less reliable on previously unseen device models
REC-0315,DEV-0099,CASE-0315,20,23,1,95.8,Struggles with executive device context; Over-flags Linux devices
REC-0316,DEV-0212,CASE-0316,85,73,1,98.6,Limited visibility during VPN outages; Less reliable on previously unseen device models
REC-0317,DEV-0084,CASE-0317,27,41,2,95.3,Reduced accuracy on staging environments; Limited visibility during VPN outages; Less reliable on previously unseen device models
REC-0318,DEV-0171,CASE-0318,52,45,2,95.7,Elevated false positives during patch windows
REC-0319,DEV-0137,CASE-0319,68,73,1,98.6,Overweights failed login signals on shared kiosks
REC-0320,DEV-0220,CASE-0320,24,48,0,100.0,Reduced accuracy on staging environments; Elevated false positives during patch windows
REC-0321,DEV-0117,CASE-0321,49,57,2,96.6,Struggles with executive device context; Elevated false positives during patch windows
REC-0322,DEV-0233,CASE-0322,85,58,0,100.0,Overweights failed login signals on shared kiosks; Struggles with executive device context; Elevated false positives during patch windows
REC-0323,DEV-0208,CASE-0323,112,32,1,97.0,Over-flags Linux devices
REC-0324,DEV-0074,CASE-0324,32,63,0,100.0,Limited visibility during VPN outages; Reduced accuracy on staging environments
REC-0325,DEV-0071,CASE-0325,90,45,2,95.7,Elevated false positives during patch windows
REC-0326,DEV-0099,CASE-0326,45,60,5,92.3,Elevated false positives during patch windows
REC-0327,DEV-0222,CASE-0327,91,27,1,96.4,Limited visibility during VPN outages
REC-0328,DEV-0095,CASE-0328,82,70,3,95.9,Reduced accuracy on staging environments; Overweights failed login signals on shared kiosks; Struggles with executive device context
REC-0329,DEV-0002,CASE-0329,19,75,6,92.6,Over-flags Linux devices; Struggles with executive device context; Elevated false positives during patch windows
REC-0330,DEV-0113,CASE-0330,95,66,3,95.7,Limited visibility during VPN outages
REC-0331,DEV-0150,CASE-0331,17,21,1,95.5,Limited visibility during VPN outages; Reduced accuracy on staging environments; Over-flags Linux devices
REC-0332,DEV-0006,CASE-0332,44,40,1,97.6,Less reliable on previously unseen device models; Overweights failed login signals on shared kiosks
REC-0333,DEV-0078,CASE-0333,45,43,3,93.5,Struggles with executive device context
REC-0334,DEV-0012,CASE-0334,103,48,2,96.0,Less reliable on previously unseen device models
REC-0335,DEV-0059,CASE-0335,28,31,0,100.0,Limited visibility during VPN outages; Overweights failed login signals on shared kiosks; Less reliable on previously unseen device models
REC-0336,DEV-0197,CASE-0336,76,35,1,97.2,Elevated false positives during patch windows; Limited visibility during VPN outages; Over-flags Linux devices
REC-0337,DEV-0026,CASE-0337,30,28,0,100.0,Over-flags Linux devices
REC-0338,DEV-0033,CASE-0338,34,48,3,94.1,Less reliable on previously unseen device models; Over-flags Linux devices; Struggles with executive device context
REC-0339,DEV-0188,CASE-0339,30,70,3,95.9,Overweights failed login signals on shared kiosks; Reduced accuracy on staging environments
REC-0340,DEV-0087,CASE-0340,28,24,0,100.0,Limited visibility during VPN outages
REC-0341,DEV-0031,CASE-0341,67,58,4,93.5,Limited visibility during VPN outages
REC-0342,DEV-0134,CASE-0342,73,42,0,100.0,Reduced accuracy on staging environments
REC-0343,DEV-0126,CASE-0343,94,69,0,100.0,Overweights failed login signals on shared kiosks; Limited visibility during VPN outages
REC-0344,DEV-0089,CASE-0344,116,44,3,93.6,Struggles with executive device context
REC-0345,DEV-0004,CASE-0345,42,61,3,95.3,Overweights failed login signals on shared kiosks; Reduced accuracy on staging environments; Struggles with executive device context
REC-0346,DEV-0170,CASE-0346,107,69,3,95.8,Elevated false positives during patch windows; Overweights failed login signals on shared kiosks; Reduced accuracy on staging environments
REC-0347,DEV-0037,CASE-0347,76,62,2,96.9,Reduced accuracy on staging environments; Elevated false positives during patch windows; Overweights failed login signals on shared kiosks
REC-0348,DEV-0178,CASE-0348,77,42,0,100.0,Limited visibility during VPN outages
REC-0349,DEV-0188,CASE-0349,79,34,0,100.0,Less reliable on previously unseen device models; Limited visibility during VPN outages
REC-0350,DEV-0217,CASE-0350,94,24,0,100.0,Over-flags Linux devices
REC-0351,DEV-0152,CASE-0351,82,48,0,100.0,Struggles with executive device context; Reduced accuracy on staging environments; Over-flags Linux devices
REC-0352,DEV-0021,CASE-0352,50,70,0,100.0,Less reliable on previously unseen device models
REC-0353,DEV-0246,CASE-0353,26,29,0,100.0,Struggles with executive device context; Reduced accuracy on staging environments; Overweights failed login signals on shared kiosks
REC-0354,DEV-0133,CASE-0354,101,60,1,98.4,Limited visibility during VPN outages; Elevated false positives during patch windows; Reduced accuracy on staging environments
REC-0355,DEV-0027,CASE-0355,107,28,1,96.6,Reduced accuracy on staging environments; Overweights failed login signals on shared kiosks
REC-0356,DEV-0190,CASE-0356,61,63,1,98.4,Struggles with executive device context; Over-flags Linux devices
REC-0357,DEV-0094,CASE-0357,27,58,1,98.3,Struggles with executive device context; Overweights failed login signals on shared kiosks; Reduced accuracy on staging environments
REC-0358,DEV-0226,CASE-0358,88,61,3,95.3,Less reliable on previously unseen device models; Struggles with executive device context
REC-0359,DEV-0214,CASE-0359,86,76,5,93.8,Limited visibility during VPN outages; Struggles with executive device context; Less reliable on previously unseen device models
REC-0360,DEV-0161,CASE-0360,118,22,1,95.7,Reduced accuracy on staging environments
REC-0361,DEV-0039,CASE-0361,115,48,2,96.0,Elevated false positives during patch windows; Reduced accuracy on staging environments
REC-0362,DEV-0068,CASE-0362,94,69,2,97.2,Less reliable on previously unseen device models; Elevated false positives during patch windows; Limited visibility during VPN outages
REC-0363,DEV-0128,CASE-0363,62,28,0,100.0,Reduced accuracy on staging environments; Struggles with executive device context
REC-0364,DEV-0031,CASE-0364,61,56,4,93.3,Overweights failed login signals on shared kiosks
REC-0365,DEV-0052,CASE-0365,41,71,4,94.7,Reduced accuracy on staging environments; Overweights failed login signals on shared kiosks; Elevated false positives during patch windows
REC-0366,DEV-0121,CASE-0366,47,74,2,97.4,Over-flags Linux devices
REC-0367,DEV-0070,CASE-0367,15,77,6,92.8,Reduced accuracy on staging environments; Over-flags Linux devices; Struggles with executive device context
REC-0368,DEV-0109,CASE-0368,50,29,0,100.0,Less reliable on previously unseen device models; Over-flags Linux devices; Reduced accuracy on staging environments
REC-0369,DEV-0097,CASE-0369,91,25,0,100.0,Reduced accuracy on staging environments; Struggles with executive device context
REC-0370,DEV-0228,CASE-0370,28,58,3,95.1,Over-flags Linux devices; Overweights failed login signals on shared kiosks
REC-0371,DEV-0238,CASE-0371,95,36,0,100.0,Elevated false positives during patch windows; Less reliable on previously unseen device models; Reduced accuracy on staging environments
REC-0372,DEV-0041,CASE-0372,52,35,2,94.6,Overweights failed login signals on shared kiosks; Elevated false positives during patch windows; Struggles with executive device context
REC-0373,DEV-0146,CASE-0373,98,39,0,100.0,Reduced accuracy on staging environments; Limited visibility during VPN outages; Struggles with executive device context
REC-0374,DEV-0107,CASE-0374,32,21,0,100.0,Reduced accuracy on staging environments; Struggles with executive device context
REC-0375,DEV-0194,CASE-0375,58,28,1,96.6,Elevated false positives during patch windows
REC-0376,DEV-0152,CASE-0376,51,42,0,100.0,Elevated false positives during patch windows; Overweights failed login signals on shared kiosks; Reduced accuracy on staging environments
REC-0377,DEV-0090,CASE-0377,112,71,4,94.7,Over-flags Linux devices; Struggles with executive device context
REC-0378,DEV-0013,CASE-0378,64,70,3,95.9,Struggles with executive device context; Less reliable on previously unseen device models
REC-0379,DEV-0084,CASE-0379,23,59,0,100.0,Elevated false positives during patch windows; Limited visibility during VPN outages
REC-0380,DEV-0018,CASE-0380,103,79,1,98.8,Less reliable on previously unseen device models; Limited visibility during VPN outages; Reduced accuracy on staging environments
REC-0381,DEV-0192,CASE-0381,77,71,3,95.9,Less reliable on previously unseen device models; Reduced accuracy on staging environments
REC-0382,DEV-0119,CASE-0382,24,50,0,100.0,Overweights failed login signals on shared kiosks; Reduced accuracy on staging environments; Less reliable on previously unseen device models
REC-0383,DEV-0082,CASE-0383,102,68,4,94.4,Overweights failed login signals on shared kiosks; Struggles with executive device context
REC-0384,DEV-0228,CASE-0384,42,44,2,95.7,Struggles with executive device context
REC-0385,DEV-0137,CASE-0385,119,27,1,96.4,Limited visibility during VPN outages
REC-0386,DEV-0085,CASE-0386,77,79,2,97.5,Struggles with executive device context
REC-0387,DEV-0226,CASE-0387,16,34,2,94.4,Less reliable on previously unseen device models; Elevated false positives during patch windows
REC-0388,DEV-0110,CASE-0388,60,41,3,93.2,Elevated false positives during patch windows
REC-0389,DEV-0042,CASE-0389,77,39,2,95.1,Reduced accuracy on staging environments; Elevated false positives during patch windows; Less reliable on previously unseen device models
REC-0390,DEV-0003,CASE-0390,88,21,1,95.5,Less reliable on previously unseen device models; Overweights failed login signals on shared kiosks
REC-0391,DEV-0151,CASE-0391,58,20,1,95.2,Less reliable on previously unseen device models; Overweights failed login signals on shared kiosks; Elevated false positives during patch windows
REC-0392,DEV-0240,CASE-0392,18,32,0,100.0,Limited visibility during VPN outages; Elevated false positives during patch windows
REC-0393,DEV-0222,CASE-0393,118,22,0,100.0,Reduced accuracy on staging environments; Over-flags Linux devices; Overweights failed login signals on shared kiosks
REC-0394,DEV-0226,CASE-0394,42,56,2,96.6,Limited visibility during VPN outages; Overweights failed login signals on shared kiosks; Elevated false positives during patch windows
REC-0395,DEV-0121,CASE-0395,91,33,2,94.3,Elevated false positives during patch windows; Reduced accuracy on staging environments
REC-0396,DEV-0009,CASE-0396,58,73,6,92.4,Elevated false positives during patch windows
REC-0397,DEV-0098,CASE-0397,94,78,1,98.7,Elevated false positives during patch windows; Reduced accuracy on staging environments; Less reliable on previously unseen device models
REC-0398,DEV-0201,CASE-0398,65,62,3,95.4,Overweights failed login signals on shared kiosks
REC-0399,DEV-0027,CASE-0399,73,29,0,100.0,Overweights failed login signals on shared kiosks; Reduced accuracy on staging environments
REC-0400,DEV-0084,CASE-0400,84,58,3,95.1,Reduced accuracy on staging environments
REC-0401,DEV-0109,CASE-0401,72,37,0,100.0,Reduced accuracy on staging environments; Over-flags Linux devices; Overweights failed login signals on shared kiosks
REC-0402,DEV-0128,CASE-0402,34,47,3,94.0,Reduced accuracy on staging environments; Overweights failed login signals on shared kiosks
REC-0403,DEV-0147,CASE-0403,82,32,2,94.1,Limited visibility during VPN outages; Overweights failed login signals on shared kiosks
REC-0404,DEV-0238,CASE-0404,114,76,5,93.8,Over-flags Linux devices
REC-0405,DEV-0021,CASE-0405,32,63,5,92.6,Elevated false positives during patch windows; Overweights failed login signals on shared kiosks; Limited visibility during VPN outages
REC-0406,DEV-0019,CASE-0406,79,68,2,97.1,Limited visibility during VPN outages; Struggles with executive device context; Reduced accuracy on staging environments
REC-0407,DEV-0081,CASE-0407,19,24,0,100.0,Reduced accuracy on staging environments; Over-flags Linux devices; Limited visibility during VPN outages
REC-0408,DEV-0211,CASE-0408,86,74,3,96.1,Reduced accuracy on staging environments
REC-0409,DEV-0065,CASE-0409,73,75,1,98.7,Elevated false positives during patch windows
REC-0410,DEV-0072,CASE-0410,38,61,2,96.8,Less reliable on previously unseen device models; Elevated false positives during patch windows; Reduced accuracy on staging environments
REC-0411,DEV-0004,CASE-0411,45,58,2,96.7,Struggles with executive device context
REC-0412,DEV-0106,CASE-0412,49,30,1,96.8,Reduced accuracy on staging environments; Less reliable on previously unseen device models
REC-0413,DEV-0198,CASE-0413,25,57,0,100.0,Over-flags Linux devices
REC-0414,DEV-0076,CASE-0414,48,67,2,97.1,Less reliable on previously unseen device models; Reduced accuracy on staging environments
REC-0415,DEV-0187,CASE-0415,33,75,0,100.0,Reduced accuracy on staging environments; Struggles with executive device context
REC-0416,DEV-0249,CASE-0416,42,41,2,95.3,Less reliable on previously unseen device models; Limited visibility during VPN outages; Overweights failed login signals on shared kiosks
REC-0417,DEV-0237,CASE-0417,57,65,3,95.6,Overweights failed login signals on shared kiosks
REC-0418,DEV-0067,CASE-0418,119,29,1,96.7,Reduced accuracy on staging environments; Struggles with executive device context
REC-0419,DEV-0125,CASE-0419,92,26,0,100.0,Over-flags Linux devices
REC-0420,DEV-0231,CASE-0420,59,27,0,100.0,Reduced accuracy on staging environments; Struggles with executive device context; Limited visibility during VPN outages
REC-0421,DEV-0002,CASE-0421,29,69,1,98.6,Over-flags Linux devices
REC-0422,DEV-0053,CASE-0422,93,33,2,94.3,Limited visibility during VPN outages
REC-0423,DEV-0029,CASE-0423,119,43,0,100.0,Less reliable on previously unseen device models
REC-0424,DEV-0159,CASE-0424,69,22,1,95.7,Over-flags Linux devices
REC-0425,DEV-0010,CASE-0425,28,73,0,100.0,Elevated false positives during patch windows; Limited visibility during VPN outages
REC-0426,DEV-0123,CASE-0426,44,30,1,96.8,Limited visibility during VPN outages
REC-0427,DEV-0217,CASE-0427,28,43,2,95.6,Over-flags Linux devices
REC-0428,DEV-0094,CASE-0428,42,67,4,94.4,Struggles with executive device context; Limited visibility during VPN outages
REC-0429,DEV-0179,CASE-0429,71,28,0,100.0,Reduced accuracy on staging environments; Struggles with executive device context; Overweights failed login signals on shared kiosks
REC-0430,DEV-0180,CASE-0430,109,71,1,98.6,Overweights failed login signals on shared kiosks; Less reliable on previously unseen device models; Limited visibility during VPN outages
REC-0431,DEV-0117,CASE-0431,20,70,0,100.0,Elevated false positives during patch windows
REC-0432,DEV-0059,CASE-0432,105,62,1,98.4,Struggles with executive device context; Less reliable on previously unseen device models; Over-flags Linux devices
REC-0433,DEV-0234,CASE-0433,100,43,3,93.5,Overweights failed login signals on shared kiosks
REC-0434,DEV-0032,CASE-0434,48,37,1,97.4,Struggles with executive device context
REC-0435,DEV-0100,CASE-0435,50,43,1,97.7,Over-flags Linux devices; Limited visibility during VPN outages
REC-0436,DEV-0159,CASE-0436,79,24,0,100.0,Over-flags Linux devices; Elevated false positives during patch windows
REC-0437,DEV-0132,CASE-0437,91,40,3,93.0,Less reliable on previously unseen device models; Overweights failed login signals on shared kiosks; Reduced accuracy on staging environments
REC-0438,DEV-0009,CASE-0438,38,66,2,97.1,Overweights failed login signals on shared kiosks; Less reliable on previously unseen device models; Elevated false positives during patch windows
REC-0439,DEV-0106,CASE-0439,72,74,0,100.0,Reduced accuracy on staging environments; Struggles with executive device context; Over-flags Linux devices
REC-0440,DEV-0044,CASE-0440,112,32,1,97.0,Struggles with executive device context
REC-0441,DEV-0068,CASE-0441,88,38,1,97.4,Limited visibility during VPN outages
REC-0442,DEV-0106,CASE-0442,19,70,1,98.6,Elevated false positives during patch windows; Overweights failed login signals on shared kiosks
REC-0443,DEV-0049,CASE-0443,104,61,5,92.4,Over-flags Linux devices; Struggles with executive device context; Elevated false positives during patch windows
REC-0444,DEV-0008,CASE-0444,31,31,1,96.9,Less reliable on previously unseen device models; Elevated false positives during patch windows
REC-0445,DEV-0188,CASE-0445,107,58,3,95.1,Limited visibility during VPN outages
REC-0446,DEV-0022,CASE-0446,60,53,2,96.4,Less reliable on previously unseen device models; Reduced accuracy on staging environments; Elevated false positives during patch windows
REC-0447,DEV-0046,CASE-0447,109,43,1,97.7,Reduced accuracy on staging environments; Elevated false positives during patch windows; Less reliable on previously unseen device models
REC-0448,DEV-0022,CASE-0448,22,49,3,94.2,Over-flags Linux devices
REC-0449,DEV-0186,CASE-0449,47,37,1,97.4,Reduced accuracy on staging environments
REC-0450,DEV-0139,CASE-0450,116,69,3,95.8,Less reliable on previously unseen device models; Elevated false positives during patch windows; Over-flags Linux devices
REC-0451,DEV-0247,CASE-0451,51,47,2,95.9,Limited visibility during VPN outages; Elevated false positives during patch windows
REC-0452,DEV-0029,CASE-0452,49,64,2,97.0,Elevated false positives during patch windows; Less reliable on previously unseen device models
REC-0453,DEV-0247,CASE-0453,81,74,0,100.0,Over-flags Linux devices; Limited visibility during VPN outages; Less reliable on previously unseen device models
REC-0454,DEV-0099,CASE-0454,112,36,0,100.0,Limited visibility during VPN outages
REC-0455,DEV-0103,CASE-0455,52,70,3,95.9,Over-flags Linux devices; Limited visibility during VPN outages; Reduced accuracy on staging environments
REC-0456,DEV-0051,CASE-0456,117,25,1,96.2,Elevated false positives during patch windows; Struggles with executive device context
REC-0457,DEV-0212,CASE-0457,40,32,2,94.1,Struggles with executive device context
REC-0458,DEV-0232,CASE-0458,16,73,1,98.6,Limited visibility during VPN outages; Elevated false positives during patch windows
REC-0459,DEV-0004,CASE-0459,16,61,1,98.4,Less reliable on previously unseen device models; Limited visibility during VPN outages
REC-0460,DEV-0142,CASE-0460,37,46,3,93.9,Elevated false positives during patch windows; Over-flags Linux devices; Struggles with executive device context
REC-0461,DEV-0219,CASE-0461,37,61,4,93.8,Limited visibility during VPN outages; Elevated false positives during patch windows
REC-0462,DEV-0241,CASE-0462,30,68,4,94.4,Elevated false positives during patch windows
REC-0463,DEV-0001,CASE-0463,37,22,0,100.0,Over-flags Linux devices; Elevated false positives during patch windows; Overweights failed login signals on shared kiosks
REC-0464,DEV-0240,CASE-0464,69,22,0,100.0,Less reliable on previously unseen device models; Limited visibility during VPN outages; Overweights failed login signals on shared kiosks
REC-0465,DEV-0053,CASE-0465,61,23,0,100.0,Reduced accuracy on staging environments; Over-flags Linux devices
REC-0466,DEV-0108,CASE-0466,72,62,5,92.5,Overweights failed login signals on shared kiosks; Struggles with executive device context
REC-0467,DEV-0118,CASE-0467,28,74,4,94.9,Less reliable on previously unseen device models; Elevated false positives during patch windows
REC-0468,DEV-0086,CASE-0468,81,64,4,94.1,Elevated false positives during patch windows; Over-flags Linux devices; Struggles with executive device context
REC-0469,DEV-0095,CASE-0469,68,37,1,97.4,Reduced accuracy on staging environments; Less reliable on previously unseen device models
REC-0470,DEV-0238,CASE-0470,117,53,3,94.6,Over-flags Linux devices
REC-0471,DEV-0107,CASE-0471,29,53,2,96.4,Limited visibility during VPN outages
REC-0472,DEV-0200,CASE-0472,52,78,2,97.5,Over-flags Linux devices; Overweights failed login signals on shared kiosks; Struggles with executive device context
REC-0473,DEV-0242,CASE-0473,74,44,3,93.6,Less reliable on previously unseen device models; Reduced accuracy on staging environments
REC-0474,DEV-0151,CASE-0474,40,44,2,95.7,Elevated false positives during patch windows; Overweights failed login signals on shared kiosks
REC-0475,DEV-0068,CASE-0475,45,61,1,98.4,Limited visibility during VPN outages
REC-0476,DEV-0006,CASE-0476,16,42,3,93.3,Over-flags Linux devices; Struggles with executive device context
REC-0477,DEV-0236,CASE-0477,50,30,0,100.0,Reduced accuracy on staging environments; Less reliable on previously unseen device models; Struggles with executive device context
REC-0478,DEV-0207,CASE-0478,77,28,1,96.6,Overweights failed login signals on shared kiosks; Less reliable on previously unseen device models
REC-0479,DEV-0038,CASE-0479,45,56,4,93.3,Elevated false positives during patch windows
REC-0480,DEV-0186,CASE-0480,41,75,5,93.8,Overweights failed login signals on shared kiosks; Limited visibility during VPN outages; Over-flags Linux devices
REC-0481,DEV-0153,CASE-0481,79,78,5,94.0,Over-flags Linux devices; Limited visibility during VPN outages; Less reliable on previously unseen device models
REC-0482,DEV-0077,CASE-0482,65,48,0,100.0,Over-flags Linux devices; Struggles with executive device context; Reduced accuracy on staging environments
REC-0483,DEV-0240,CASE-0483,95,55,1,98.2,Overweights failed login signals on shared kiosks; Less reliable on previously unseen device models; Struggles with executive device context
REC-0484,DEV-0223,CASE-0484,118,42,0,100.0,Overweights failed login signals on shared kiosks
REC-0485,DEV-0156,CASE-0485,37,39,0,100.0,Overweights failed login signals on shared kiosks; Reduced accuracy on staging environments
REC-0486,DEV-0204,CASE-0486,45,70,0,100.0,Over-flags Linux devices
REC-0487,DEV-0166,CASE-0487,110,58,1,98.3,Reduced accuracy on staging environments
REC-0488,DEV-0122,CASE-0488,48,22,1,95.7,Reduced accuracy on staging environments; Overweights failed login signals on shared kiosks; Elevated false positives during patch windows
REC-0489,DEV-0148,CASE-0489,41,60,1,98.4,Reduced accuracy on staging environments; Over-flags Linux devices; Elevated false positives during patch windows
REC-0490,DEV-0123,CASE-0490,58,70,4,94.6,Overweights failed login signals on shared kiosks; Reduced accuracy on staging environments
REC-0491,DEV-0128,CASE-0491,72,34,1,97.1,Reduced accuracy on staging environments; Struggles with executive device context
REC-0492,DEV-0175,CASE-0492,87,45,3,93.8,Elevated false positives during patch windows
